Question - Arabic,Answer - Arabic,Question - English,Answer - English,Category
"املأ الفراغات في الجملة التالية:
من النتائج الكلاسيكية لتخطيط كهربية القلب في التهاب عضلة القلب ____، وغالبًا ما يصاحبها ____.
أ. إطالة فترة PR؛ عدم انتظام ضربات القلب البطيني
ب. تسرع القلب؛ انعكاس الموجة T
ج. بطء القلب؛ ارتفاع القطعة ST
د. اتساع QRS؛ خفقان الأذين",ب. تسرع القلب؛ انعكاس الموجة T,"Fill in the blanks in the following sentence:
A classic ECG finding in myocarditis is ____, often accompanied by ____.
A. Prolonged PR interval; ventricular arrhythmias
B. Tachycardia; T-wave inversion
C. Bradycardia; ST-segment elevation
D. QRS widening; atrial flutter","B. Tachycardia; T-wave inversion
",Cardiovascular System
"املأ الفراغ في الجملة التالية:
في النبيت الجلدي, _______ هي المتعضيات الاشيع.
أ. المكورات العنقودية البشرية
ب. المكورات العقدية
ج. المكورات الدقيقة
هـ. العصيات سلبية الغرام","أ. المكورات العنقودية البشرية
","Fill in the blank in the following sentence:
In skin flora, _____ are the most common organisms.
A. Staphylococcus epidermidis
B. Streptococcus
C. Micrococcus
E. Gram-negative rods",A. Staphylococcus epidermidis,Dermatology
"املأ الفراغات في الجملة التالية:
غالبًا ما ينطوي التهاب الدماغ الفيروسي على فقدان الذاكرة والارتباك. تشمل طرق التشخيص ____، والتي يمكن أن تكشف عن ____.
أ. تخطيط كهربية الدماغ، موجات دماغية متقطعة
ب. التصوير بالرنين المغناطيسي، التهاب الفص الصدغي
ج. تحليل السائل الدماغي الشوكي، ارتفاع مستوى الجلوكوز
د. التصوير المقطعي المحوسب، تحولات خط الوسط","ب. التصوير بالرنين المغناطيسي، التهاب الفص الصدغي","Fill in the blanks in the following sentence:
Viral encephalitis often involves memory loss and confusion. Diagnostic methods include ____, which can reveal ____.
A. EEG, disrupted brain waves
B. MRI, temporal lobe inflammation
C. CSF analysis, elevated glucose
D. CT scan, midline shifts","B. MRI, temporal lobe inflammation
",Neurology
"املأ الفراغ في الجملة التالية:
في الذئبة الحمامية الجهازية، ينتج الجهاز المناعي أجسامًا مضادة تُعرف باسم _____، والتي تستهدف المكونات النووية. يمكن تشخيص المرض باستخدام اختبارات الكشف عن الأجسام المضادة لـ ______ باستخدام الطرق المناعية.
أ. البروتين التفاعلي سي، الحمض النووي الريبي
ب. الحمض النووي الريبي النووي، الحمض النووي الريبي
ج. الإنترلوكين 6، الهيستون
د. عامل نخر الورم ألفا، التناضح العكسي","ب. الحمض النووي الريبي النووي، الحمض النووي الريبي
","Fill in the blank in the following sentence:
In systemic lupus erythematosus, the immune system produces antibodies known as _____, which target nuclear components. The disease can be diagnosed using tests detecting anti-_____ antibodies using immunological methods.
A. CRP, RNA
B. ANA, DNA
C. IL-6, Histone
D. TNF-alpha, RO","B. ANA, DNA",Dermatology
"املأ الفراغات في الجملة التالية:
تتضمن أسباب أمراض الرئة الخلالية (ILDs) العدوى مثل ____، والحالات الجهازية مثل ____، والتعرضات البيئية.
أ. السل؛ الذئبة
ب. داء الكوكسيديا؛ أمراض النسيج الضام
ج. داء الهيستوبلازما؛ داء السكري
د. داء الرشاشيات؛ تليف القلب",ب. داء الكوكسيديا؛ أمراض النسيج الضام,"Fill in the blanks in the following sentence:
The etiology of Interstitial Lung Diseases (ILDs) includes infections such as ____, systemic conditions like ____, and environmental exposures.
A. Tuberculosis; lupus
B. Coccidioidomycosis; connective tissue diseases
C. Histoplasmosis; diabetes mellitus
D. Aspergillosis; cardiac fibrosis","B. Coccidioidomycosis; connective tissue diseases
",Pulmonology
"املأ الفراغات في الجملة التالية:
عادةً ما تؤدي أورام الأنسولين إلى ظهور أعراض ____ بسبب نقص سكر الدم، مع حدوث نوبات غالبًا أثناء الصيام أو ممارسة الرياضة.
أ. عصبي سكري
ب. أدرينالية
ج. عصبي سكري
د. أدرينالية",ج. عصبي سكري,"Fill in the blanks in the following sentence:
Insulinomas typically result in ____ symptoms due to hypoglycemia, with episodes often occurring during fasting or exercise.
A. Neuroglycopenic
B. Adrenergic
C. Neuroglycopenic
D. Adrenergic","C. Neuroglycopenic
",Gastroenterology
"املأ الفراغ في الجملة التالية:
الارتفاع في الجلد الذي يحتوي على مادة قيحية يُعرف بـ _____.
أ. بثرة
ب. حويصل
ج. فقاعة
د. كيسة
هـ. عقيدة","أ. بثرة
","Fill in the blank in the following sentence:
A raised area of ​​skin containing pus is known as _____.
A. Pustule
B. Vesicle
C. Bulla
D. Cyst
E. Nodule",A. Pustule,Dermatology
"املأ الفراغ في العبارة التالية:
يتميز الاعتلال العصبي المحيطي الناتج عن سمية فيتامين ب6 بـ _____.
أ. فقدان ردود الفعل الوترية
ب. ترنح حسي وخدر
ج. شلل حركي
د. زيادة قوة العضلات",ب. ترنح حسي وخدر,"Fill in the blank in the following statement:
Peripheral neuropathy due to vitamin B6 toxicity is characterized by _____.
A. Loss of tendon reflexes
B. Sensory ataxia and numbness
C. Motor paralysis
D. Increased muscle tone
","B. Sensory ataxia and numbness
",Neurology
"املأ الفراغات في الجملة التالية:
يشمل علاج قصور القلب الحاد غير المعوض ____، وخاصة في حالات ____.
أ. مدرات البول؛ الوذمة الرئوية
ب. موسعات الأوعية الدموية؛ تضخم البطين
ج. حاصرات بيتا؛ عدم انتظام ضربات القلب
د. الديجوكسين؛ الصدمة القلبية",أ. مدرات البول؛ الوذمة الرئوية,"Fill in the blanks in the following sentence:
Treatment for acute decompensated heart failure includes ____, particularly in cases of ____.
A. Diuretics; pulmonary edema
B. Vasodilators; ventricular hypertrophy
C. Beta-blockers; arrhythmias
D. Digoxin; cardiogenic shock",A. Diuretics; pulmonary edema,Cardiovascular System
"املأ الفراغات في الجملة التالية:
يتميز فقدان الذاكرة الشامل العابر (TGA) بظهور مفاجئ لـ ____، والذي يختفي في غضون ____.
أ. فقدان الذاكرة التراجعي، 48 ساعة
ب. الخلل التنفيذي، أسبوع واحد
ج. فقدان الذاكرة التقدمي، 24 ساعة
د. فقدان القدرة على الكلام، 12 ساعة","ج. فقدان الذاكرة التقدمي، 24 ساعة","Fill in the blanks in the following sentence:
Transient global amnesia (TGA) is characterized by sudden onset of ____, which resolves within ____.
A. Retrograde amnesia, 48 hours
B. Executive dysfunction, one week
C. Anterograde amnesia, 24 hours
D. Aphasia, 12 hours","C. Anterograde amnesia, 24 hours
",Neurology
"املأ الفراغات في الجملة التالية:
في حالات الاشتباه في الإصابة بمرض التليف الرئوي مجهول السبب، غالبًا ما يكشف التصوير التشخيصي عن ____، مع ظهور صور شعاعية طبيعية للصدر لدى 10% فقط من المرضى.
أ. عتامات زجاجية أرضية
ب. التكتلات
ج. ارتشاحات عقيدية
د. خلايا النحل",أ. عتامات زجاجية أرضية,"Fill in the blanks in the following sentence:
In cases of suspected IPF, diagnostic imaging often reveals ____, with only 10% of patients showing normal chest radiographs.
A. Ground-glass opacities
B. Consolidations
C. Nodular infiltrates
D. Honeycombing","A. Ground-glass opacities
",Pulmonology
"املأ الفراغات في الجملة التالية:
في الأشعة السينية على الصدر للانصباب الجنبي، غالبًا ما يكون ____ غير حاد، في حين أن الانصبابات الأكبر قد تسبب إزاحة ____.
أ. الزاوية الضلعية الحجابية؛ المنصف
ب. قمة الرئة؛ القلب
ج. الزاوية القلبية الحجابية؛ الرئوية
د. النتوء؛ الوعائي",أ. الزاوية الضلعية الحجابية؛ المنصف,"Fill in the blanks in the following sentence:
In chest X-rays of pleural effusion, the ____ is often blunted, while larger effusions may cause ____ displacement.
A. Costophrenic angle; mediastinal
B. Lung apex; cardiac
C. Cardiophrenic angle; pulmonary
D. Hilum; vascular","A. Costophrenic angle; mediastinal
",Pulmonology
"املأ الفراغات في الجملة التالية:
المعيار الذهبي لتشخيص مرض الرئة الخلالي يتضمن ____، والذي يسمح بتحديد مدى الإصابة الخلوية ونوع الالتهاب.
أ. تنظيف القصبات الهوائية
ب. خزعة عبر القصبات الهوائية
ج. التصوير المقطعي المحوسب عالي الدقة (HRCT)
د. غسل القصبات الهوائية والحويصلات الهوائية (BAL)",د. غسل القصبات الهوائية والحويصلات الهوائية (BAL),"Fill in the blanks in the following sentence:
The gold standard for diagnosing ILD involves ____, which allows determination of the extent of cellular involvement and the type of inflammation.
A. Bronchial brushing
B. Transbronchial biopsy
C. High-Resolution CT (HRCT)
D. Bronchoalveolar lavage (BAL)",D. Bronchoalveolar lavage (BAL),Pulmonology
"املأ الفراغ في الجملة التالية:
بزل السلى هو تقنية تستخدم لتشخيص التشوهات الجينية مثل ____.
أ. التليف الكيسي
ب. متلازمة داون
ج. فقر الدم المنجلي
د. مرض تاي ساكس",أ. التليف الكيسي,"Fill in the blank in the following sentence: 
Amniocentesis is a technique used to diagnose genetic abnormalities such as ____.
A. Cystic fibrosis
B. Down syndrome 
C. Sickle cell anemia
D. Tay-Sachs disease",A. Cystic fibrosis,OBGYN
"املأ الفراغات في الجملة التالية:
متلازمات الثلاسيميا هي مجموعة من الاضطرابات الوراثية الناتجة عن نقص اصطناع في سلاسل الغلوبين ___ أو ___.  
أ. α - β
ب. α - γ
ج. δ - β
د. α - δ","أ. α - β
","Fill in the blanks in the following sentence:
Thalassaemia syndromes are a group of genetic disorders resulting from a deficiency in the synthesis of ___ or ___ globin chains.
A. α - β
B. α - γ
C. δ - β
D. α - δ",A. α - β,Hematology
"املأ الفراغ في الجملة التالية:
يتميز داء السكري من النمط الأول بحدوث نقص شديد في _____ بشكل كامل أو جزئي, و يتم تأكيد التشخيص المناعي للمرض من خلال الكشف عن أجسام مضادة مثل Glutamic Acid Decarboxylase (GAD) و_____.
أ. الكورتيزول, IL-6
ب. الجلوكاجون, TSH
ج. الانسولين, IAA
د. الانسولين, HLA","ج. الانسولين, IAA
","Diabetes mellitus is characterized by a complete or partial deficiency of only one of _____, and the immunological diagnosis of the disease is diagnosed by detecting antibodies such as Glutamic Acid Decarboxylase (GAD) and ____.
A. Cortisol, IL-6
B. Glucagon, TSH
C. Insulin, IAA
D. Insulin, HLA","C. Insulin, IAA",Endocrinology
"املأ الفراغ في الجملة التالية:
بعد الولادة، يحدث زيادة في إفراز هرمون _____، الذي يعتبر ضرورياً للحفاظ على حرارة جسم الوليد.
أ. الكورتيزول
ب. TSH
ج. T4
د. T3",ب. TSH,"Fill in the blank in the following sentence:
After birth, there is an increase in the secretion of the hormone _____, which is necessary to maintain the newborn's body temperature.
A. Cortisol
B. TSH
C. T4
D. T3",B. TSH,OBGYN
"املأ الفراغات في الجملة التالية:
تبدأ إدارة الألم في التهاب البنكرياس المزمن عادةً بـ ____، ثم تتصاعد إلى ____ في الحالات الشديدة.
أ. مضادات التشنج؛ مسكنات الأفيون
ب. مضادات الالتهاب غير الستيرويدية؛ تعويض إنزيم البنكرياس
ج. مضادات الحموضة؛ الأفيونات
د. نظائر الأفيون؛ الجراحة",أ. مضادات التشنج؛ مسكنات الأفيون,"Fill in the blanks in the following sentence:
Pain management in chronic pancreatitis typically begins with ____, escalating to ____ for severe cases.
A. Antispasmodics; opioid analgesics
B. NSAIDs; pancreatic enzyme replacement
C. Antacids; opioids
D. Opiate analogues; surgery","A. Antispasmodics; opioid analgesics
",Gastroenterology
"املأ الفراغ في الجملة التالية:
الهدف من دفع العجان هو الحد من الانبساط السريع لرأس الجنين لأن الانبساط السريع يميز _____.
 أ. تمزق الأنسجة
 ب. قوة العضلات
 ج. تمدد العظام
 د. نزيف الأغشية"," أ. تمزق الأنسجة
","Fill in the blank in the following sentence:
The purpose of perineal thrusting is to reduce rapid dilation of the fetal head because rapid dilation is characteristic of _____.
A. Tissue tearing
B. Muscle tone
C. Bone stretching
D. Bleeding of membranes",A. Tissue tearing,OBGYN
"املأ الفراغات في الجملة التالية:
تشمل الأسباب الأيضية للغيبوبة ____، في حين تشمل الأسباب السامة عادةً مواد مثل ____.
أ. اعتلال الدماغ الكبدي؛ الكحول والباربيتورات
ب. نقص صوديوم الدم؛ المهدئات والأفيونات
ج. فرط بوتاسيوم الدم؛ الأسيتامينوفين ومضادات الاكتئاب
د. نقص كالسيوم الدم؛ الكوكايين والبنزوديازيبينات",أ. اعتلال الدماغ الكبدي؛ الكحول والباربيتورات,"Fill in the blanks in the following sentence:
Metabolic causes of coma include ____, while toxic causes commonly involve substances such as ____.
A. Hepatic encephalopathy; alcohol and barbiturates
B. Hyponatremia; sedatives and opiates
C. Hyperkalemia; acetaminophen and antidepressants
D. Hypocalcemia; cocaine and benzodiazepines","A. Hepatic encephalopathy; alcohol and barbiturates
",Neurology
"املأ الفراغ في الجملة التالية:
من الأعراض الشائعة لدى النساء المصابات بفرط برولاكتين الدم _____.
أ. إفراز اللبن
ب. انخفاض ضغط الدم
ج. العقم
د. جفاف المهبل",أ. إفراز اللبن,"Fill in the blank in the following sentence:
A common symptom in women with hyperprolactinemia is _____.
A. Galactorrhea
B. Hypotension
C. Infertility
D. Vaginal dryness
","A. Galactorrhea
",Endocrinology
"املأ الفراغات في الجملة التالية:
يتميز تطور التليف الرئوي مجهول السبب بـ ____، مما يؤدي إلى تليف لا رجعة فيه وفقدان ____.
أ. فرط توسع الحويصلات الهوائية؛ الإمداد الوعائي
ب. الالتهاب المزمن؛ وظيفة الحويصلات الهوائية
ج. تسلل الخلايا البلعمية؛ سلامة الأنسجة
د. تضيق القصبات الهوائية؛ التصريف اللمفاوي",ب. الالتهاب المزمن؛ وظيفة الحويصلات الهوائية,"Fill in the blanks in the following sentence:
The progression of IPF is characterized by ____, leading to irreversible fibrosis and loss of ____.
A. Alveolar overexpansion; vascular supply
B. Chronic inflammation; alveolar function
C. Macrophage infiltration; tissue integrity
D. Bronchial stenosis; lymphatic drainage","B. Chronic inflammation; alveolar function
",Pulmonology
"املأ الفراغات في الجملة التالية:
ينتج الداء النزفي عند الوليد بسبب نقص عوامل التخثر المتعلقة بفيتامين _____، ويعرف مخبرياً بانخفاض مستوى هذه العوامل عن ____%.
أ. A, 25%
ب. B, 30% 
ج. K, 30%
د. K, 25%","ج. K, 30%","Fill in the blanks in the following sentence:
Hemorrhagic disease of the newborn is caused by a deficiency of clotting factors related to vitamin _____, and is defined in the laboratory as a decrease in the level of these factors below ____%.
A. A, 25%
B. B, 30%
C. K, 30%
D. K, 25%","C. K, 30%",Pediatrics
"املأ الفراغات في الجملة التالية:
يختلف فشل القلب مع الحفاظ على كسر القذف (HFpEF) عن فشل القلب مع الحفاظ على كسر القذف (HFrEF) في أنه ____، بينما فشل القلب مع الحفاظ على كسر القذف ____.
أ. يسبب تمدد البطين؛ يسبب تضخم القلب المركزي
ب. ينطوي على انخفاض كسر القذف؛ يحافظ على كسر القذف الطبيعي
ج. يحافظ على الانقباض؛ يضعف الاسترخاء
د. يحافظ على كسر القذف > 50%؛ يكون كسر القذف < 40%",د. يحافظ على كسر القذف > 50%؛ يكون كسر القذف < 40%,"Fill in the blanks in the following sentence:
Heart failure with preserved ejection fraction (HFpEF) differs from HFrEF in that it ____, whereas HFrEF ____.
A. Causes ventricular dilation; causes concentric hypertrophy
B. Involves reduced EF; maintains normal EF
C. Preserves contractility; impairs relaxation
D. Maintains EF > 50%; has an EF < 40%",D. Maintains EF > 50%; has an EF < 40%,Cardiovascular System
"املأ الفراغات في الجملة التالية:
السبب المعدي الأكثر شيوعًا لالتهاب عضلة القلب هو ____، في حين أن السبب النادر يشمل ____.
أ. الفيروس الغدي؛ فيروس إبشتاين بار
ب. فيروس كوكساكي ب؛ تريبانوزوما كروزي
ج. فيروس التهاب الكبد ب؛ الفيروس المضخم للخلايا
د. فيروس الأنفلونزا؛ تريبانوزوما كروزي",ب. فيروس كوكساكي ب؛ تريبانوزوما كروزي,"Fill in the blanks in the following sentence:
The most common infectious cause of myocarditis is ____, whereas a rare cause includes ____.
A. Adenovirus; Epstein-Barr virus
B. Coxsackie B virus; Trypanosoma cruzi
C. Hepatitis B virus; Cytomegalovirus
D. Influenza virus; Trypanosoma cruzi",B. Coxsackie B virus; Trypanosoma cruzi,Cardiovascular System
"املأ الفراغ في الجملة التالية:
يمكن أن تسبب الأدوية مثل ____ ومضادات الدوبامين فرط برولاكتين الدم.
أ. حاصرات بيتا
ب. مضادات الاكتئاب ثلاثية الحلقات
ج. الكورتيكوستيرويدات
د. مثبطات مضخة البروتون",ب. مضادات الاكتئاب ثلاثية الحلقات,"Fill in the blank in the following sentence:
Medications such as ____ and dopamine antagonists can cause hyperprolactinemia.
A. Beta blockers
B. Tricyclic antidepressants
C. Corticosteroids
D. Proton pump inhibitors","B. Tricyclic antidepressants
",Endocrinology
"املأ الفراغات في الجملة التالية:
يُصنف الانصباب الجنبي بمستوى بروتين > 3 جم/ديسيلتر وتركيز LDH مرتفع على أنه ____، وغالبًا ما يُرى في الالتهاب الرئوي.
أ. رشح
ب. إفرازات
ج. رشح
د. انصباب كيلوسي",ب. إفرازات,"Fill in the blanks in the following sentence:
Pleural effusion with a protein level > 3 g/dL and a high LDH concentration is classified as ____, often seen in pneumonia.
A. Transudate
B. Exudate
C. Transudate
D. Chylous effusion",B. Exudate,Pulmonology
"املأ الفراغات في الجملة التالية:
غالبًا ما يصاب مرضى التهاب البنكرياس المزمن بـ ____، والذي ينتج عن انخفاض إفراز إنزيمات البنكرياس.
أ. ارتفاع سكر الدم
ب. إسهال دهني
ج. اليرقان
د. دوالي المريء",ب. إسهال دهني,"Fill in the blanks in the following sentence:
Chronic pancreatitis patients often develop ____, which results from a reduction in pancreatic enzyme secretion.
A. Hyperglycemia
B. Steatorrhea
C. Jaundice
D. Esophageal varices","B. Steatorrhea
",Gastroenterology
