Question - Arabic,Answer - Arabic,Question - English,Answer - English,Category
"املأ الفراغ في الجملة التالية:
يتم تصنيع البروستاجلاندين من حمض ______ من خلال إنزيم ______.
","حمض الأراكيدونيك، سيكلوأكسجيناز",Fill in the blank in the following sentence: Prostaglandins are synthesized from ______ acid through the enzyme ______.,"Arachidonic, Cyclooxygenase",OBGYN
"املأ الفراغات في الجملة التالية:
تعتبر ____ من السمات التشخيصية لقصور القلب الانقباضي، والتي تحدث عندما ينخفض ​​كسر القذف إلى أقل من ____.
",انخفاض معدل القذف؛ 40%,"Fill in the blanks in the following sentence: A diagnostic feature of systolic heart failure is ____, which occurs when the ejection fraction falls below ____.",Decreased EF; 40%,Cardiovascular System
"املأ الفراغ في العبارة التالية:
متلازمة غيلان باريه (GBS) مرتبطة بارتفاع ____ في السائل الدماغي الشوكي دون زيادة في عدد خلايا الدم البيضاء.
",البروتينات,Fill in the blank in the following statement: Guillain-Barré Syndrome (GBS) is associated with elevated ____ in the cerebrospinal fluid without an increase in white blood cell count.,Proteins,Neurology
"املأ الفراغات في الجملة التالية:
الأداة التشخيصية الأكثر استخدامًا لتأكيد الإصابة بجلطة وريدية عميقة هي الموجات فوق الصوتية، بينما ____، على الرغم من دقتها، مخصصة للحالات المعقدة.
",تصوير الأوردة بالرنين المغناطيسي,"Fill in the blanks in the following sentence: The most commonly used diagnostic tool for confirming DVT is ultrasound, while ____, though more accurate, is reserved for complex cases.",MRI Venography,Cardiovascular System
"املأ الفراغات في الجملة التالية:
تنتج متلازمة زولينجر إليسون عن أورام تفرز ____، مما يؤدي إلى إنتاج مفرط ____.
",الجاسترين؛ حمض الهيدروكلوريك,"Fill in the blanks in the following sentence: Zollinger-Ellison syndrome results from ____-secreting tumors, leading to excessive ____ production.",Gastrin; hydrochloric acid,Gastroenterology
"املأ الفراغات في الجملة التالية:
من النتائج الكلاسيكية لتخطيط كهربية القلب في التهاب عضلة القلب ____، وغالبًا ما يصاحبها ____.
",تسرع القلب؛ انعكاس الموجة T,"Fill in the blanks in the following sentence: A classic ECG finding in myocarditis is ____, often accompanied by ____.",Tachycardia; T-wave inversion,Cardiovascular System
"املأ الفراغ في الجملة التالية:
في النبيت الجلدي, _______ هي المتعضيات الاشيع.
","المكورات العنقودية البشرية
","Fill in the blank in the following sentence: In skin flora, _____ are the most common organisms.",Staphylococcus epidermidis,Dermatology
"املأ الفراغات في الجملة التالية:
غالبًا ما ينطوي التهاب الدماغ الفيروسي على فقدان الذاكرة والارتباك. تشمل طرق التشخيص ____، والتي يمكن أن تكشف عن ____.
","التصوير بالرنين المغناطيسي، التهاب الفص الصدغي","Fill in the blanks in the following sentence: Viral encephalitis often involves memory loss and confusion. Diagnostic methods include ____, which can reveal ____.","MRI, temporal lobe inflammation",Neurology
"املأ الفراغ في الجملة التالية:
في الذئبة الحمامية الجهازية، ينتج الجهاز المناعي أجسامًا مضادة تُعرف باسم _____، والتي تستهدف المكونات النووية. يمكن تشخيص المرض باستخدام اختبارات الكشف عن الأجسام المضادة لـ ______ باستخدام الطرق المناعية.
","الحمض النووي الريبي النووي، الحمض النووي الريبي
","Fill in the blank in the following sentence: In systemic lupus erythematosus, the immune system produces antibodies known as _____, which target nuclear components. The disease can be diagnosed using tests detecting anti-_____ antibodies using immunological methods.","ANA, DNA",Dermatology
"املأ الفراغات في الجملة التالية:
تتضمن أسباب أمراض الرئة الخلالية (ILDs) العدوى مثل ____، والحالات الجهازية مثل ____، والتعرضات البيئية.
", داء الكوكسيديا؛ أمراض النسيج الضام,"Fill in the blanks in the following sentence: The etiology of Interstitial Lung Diseases (ILDs) includes infections such as ____, systemic conditions like ____, and environmental exposures.",Coccidioidomycosis; connective tissue diseases,Pulmonology
"املأ الفراغات في الجملة التالية:
عادةً ما تؤدي أورام الأنسولين إلى ظهور أعراض ____ بسبب نقص سكر الدم، مع حدوث نوبات غالبًا أثناء الصيام أو ممارسة الرياضة.
",عصبي سكري,"Fill in the blanks in the following sentence: Insulinomas typically result in ____ symptoms due to hypoglycemia, with episodes often occurring during fasting or exercise.",Neuroglycopenic,Gastroenterology
"املأ الفراغ في الجملة التالية:
الارتفاع في الجلد الذي يحتوي على مادة قيحية يُعرف بـ _____.
"," بثرة
",Fill in the blank in the following sentence: A raised area of ​​skin containing pus is known as _____.,Pustule,Dermatology
"املأ الفراغ في العبارة التالية:
يتميز الاعتلال العصبي المحيطي الناتج عن سمية فيتامين ب6 بـ _____.
",ترنح حسي وخدر,Fill in the blank in the following statement: Peripheral neuropathy due to vitamin B6 toxicity is characterized by _____.,Sensory ataxia and numbness,Neurology
"املأ الفراغات في الجملة التالية:
يشمل علاج قصور القلب الحاد غير المعوض ____، وخاصة في حالات ____.
",مدرات البول؛ الوذمة الرئوية,"Fill in the blanks in the following sentence: Treatment for acute decompensated heart failure includes ____, particularly in cases of ____.",Diuretics; pulmonary edema,Cardiovascular System
"املأ الفراغات في الجملة التالية:
يتميز فقدان الذاكرة الشامل العابر (TGA) بظهور مفاجئ لـ ____، والذي يختفي في غضون ____.
","فقدان الذاكرة التقدمي، 24 ساعة","Fill in the blanks in the following sentence: Transient global amnesia (TGA) is characterized by sudden onset of ____, which resolves within ____.","Anterograde amnesia, 24 hours",Neurology
"املأ الفراغات في الجملة التالية:
في حالات الاشتباه في الإصابة بمرض التليف الرئوي مجهول السبب، غالبًا ما يكشف التصوير التشخيصي عن ____، مع ظهور صور شعاعية طبيعية للصدر لدى 10% فقط من المرضى.
",عتامات زجاجية أرضية,"Fill in the blanks in the following sentence: In cases of suspected IPF, diagnostic imaging often reveals ____, with only 10% of patients showing normal chest radiographs.",Ground-glass opacities,Pulmonology
"املأ الفراغات في الجملة التالية:
في الأشعة السينية على الصدر للانصباب الجنبي، غالبًا ما يكون ____ غير حاد، في حين أن الانصبابات الأكبر قد تسبب إزاحة ____.
",الزاوية الضلعية الحجابية؛ المنصف,"Fill in the blanks in the following sentence: In chest X-rays of pleural effusion, the ____ is often blunted, while larger effusions may cause ____ displacement.",Costophrenic angle; mediastinal,Pulmonology
"املأ الفراغات في الجملة التالية:
المعيار الذهبي لتشخيص مرض الرئة الخلالي يتضمن ____، والذي يسمح بتحديد مدى الإصابة الخلوية ونوع الالتهاب.
",غسل القصبات الهوائية والحويصلات الهوائية (BAL),"Fill in the blanks in the following sentence: The gold standard for diagnosing ILD involves ____, which allows determination of the extent of cellular involvement and the type of inflammation.",Bronchoalveolar lavage (BAL),Pulmonology
"املأ الفراغ في الجملة التالية:
بزل السلى هو تقنية تستخدم لتشخيص التشوهات الجينية مثل ____.
",التليف الكيسي,Fill in the blank in the following sentence: Amniocentesis is a technique used to diagnose genetic abnormalities such as ____.,Cystic fibrosis,OBGYN
"املأ الفراغات في الجملة التالية:
متلازمات الثلاسيميا هي مجموعة من الاضطرابات الوراثية الناتجة عن نقص اصطناع في سلاسل الغلوبين ___ أو ___.  
","α - β
",Fill in the blanks in the following sentence: Thalassaemia syndromes are a group of genetic disorders resulting from a deficiency in the synthesis of ___ or ___ globin chains.,α - β,Hematology
"املأ الفراغ في الجملة التالية:
يتميز داء السكري من النمط الأول بحدوث نقص شديد في _____ بشكل كامل أو جزئي, و يتم تأكيد التشخيص المناعي للمرض من خلال الكشف عن أجسام مضادة مثل Glutamic Acid Decarboxylase (GAD) و_____.
"," الانسولين, IAA
","Diabetes mellitus is characterized by a complete or partial deficiency of only one of _____, and the immunological diagnosis of the disease is diagnosed by detecting antibodies such as Glutamic Acid Decarboxylase (GAD) and ____.","Insulin, IAA",Endocrinology
"املأ الفراغ في الجملة التالية:
بعد الولادة، يحدث زيادة في إفراز هرمون _____، الذي يعتبر ضرورياً للحفاظ على حرارة جسم الوليد.
",TSH,"Fill in the blank in the following sentence: After birth, there is an increase in the secretion of the hormone _____, which is necessary to maintain the newborn's body temperature.",TSH,OBGYN
"املأ الفراغات في الجملة التالية:
تبدأ إدارة الألم في التهاب البنكرياس المزمن عادةً بـ ____، ثم تتصاعد إلى ____ في الحالات الشديدة.
",مضادات التشنج؛ مسكنات الأفيون,"Fill in the blanks in the following sentence: Pain management in chronic pancreatitis typically begins with ____, escalating to ____ for severe cases.",Antispasmodics; opioid analgesics,Gastroenterology
"املأ الفراغ في الجملة التالية:
الهدف من دفع العجان هو الحد من الانبساط السريع لرأس الجنين لأن الانبساط السريع يميز _____.
","تمزق الأنسجة
",Fill in the blank in the following sentence: The purpose of perineal thrusting is to reduce rapid dilation of the fetal head because rapid dilation is characteristic of _____.,Tissue tearing,OBGYN
"املأ الفراغات في الجملة التالية:
تشمل الأسباب الأيضية للغيبوبة ____، في حين تشمل الأسباب السامة عادةً مواد مثل ____.
",اعتلال الدماغ الكبدي؛ الكحول والباربيتورات,"Fill in the blanks in the following sentence: Metabolic causes of coma include ____, while toxic causes commonly involve substances such as ____.",Hepatic encephalopathy; alcohol and barbiturates,Neurology
"املأ الفراغ في الجملة التالية:
من الأعراض الشائعة لدى النساء المصابات بفرط برولاكتين الدم _____.
",إفراز اللبن,Fill in the blank in the following sentence: A common symptom in women with hyperprolactinemia is _____.,Galactorrhea,Endocrinology
"املأ الفراغات في الجملة التالية:
يتميز تطور التليف الرئوي مجهول السبب بـ ____، مما يؤدي إلى تليف لا رجعة فيه وفقدان ____.
",الالتهاب المزمن؛ وظيفة الحويصلات الهوائية,"Fill in the blanks in the following sentence: The progression of IPF is characterized by ____, leading to irreversible fibrosis and loss of ____.",Chronic inflammation; alveolar function,Pulmonology
"املأ الفراغات في الجملة التالية:
ينتج الداء النزفي عند الوليد بسبب نقص عوامل التخثر المتعلقة بفيتامين _____، ويعرف مخبرياً بانخفاض مستوى هذه العوامل عن ____%.
","K, 30%","Fill in the blanks in the following sentence: Hemorrhagic disease of the newborn is caused by a deficiency of clotting factors related to vitamin _____, and is defined in the laboratory as a decrease in the level of these factors below ____%.","K, 30%",Pediatrics
"املأ الفراغات في الجملة التالية:
يختلف فشل القلب مع الحفاظ على كسر القذف (HFpEF) عن فشل القلب مع الحفاظ على كسر القذف (HFrEF) في أنه ____، بينما فشل القلب مع الحفاظ على كسر القذف ____.
",يحافظ على كسر القذف > 50%؛ يكون كسر القذف < 40%,"Fill in the blanks in the following sentence: Heart failure with preserved ejection fraction (HFpEF) differs from HFrEF in that it ____, whereas HFrEF ____.",Maintains EF > 50%; has an EF < 40%,Cardiovascular System
"املأ الفراغات في الجملة التالية:
السبب المعدي الأكثر شيوعًا لالتهاب عضلة القلب هو ____، في حين أن السبب النادر يشمل ____.
", فيروس كوكساكي ب؛ تريبانوزوما كروزي,"Fill in the blanks in the following sentence: The most common infectious cause of myocarditis is ____, whereas a rare cause includes ____.",Coxsackie B virus; Trypanosoma cruzi,Cardiovascular System
"املأ الفراغ في الجملة التالية:
يمكن أن تسبب الأدوية مثل ____ ومضادات الدوبامين فرط برولاكتين الدم.
", مضادات الاكتئاب ثلاثية الحلقات,Fill in the blank in the following sentence: Medications such as ____ and dopamine antagonists can cause hyperprolactinemia.,Tricyclic antidepressants,Endocrinology
"املأ الفراغات في الجملة التالية:
يُصنف الانصباب الجنبي بمستوى بروتين > 3 جم/ديسيلتر وتركيز LDH مرتفع على أنه ____، وغالبًا ما يُرى في الالتهاب الرئوي.
",إفرازات,"Fill in the blanks in the following sentence: Pleural effusion with a protein level > 3 g/dL and a high LDH concentration is classified as ____, often seen in pneumonia.",Exudate,Pulmonology
"املأ الفراغات في الجملة التالية:
غالبًا ما يصاب مرضى التهاب البنكرياس المزمن بـ ____، والذي ينتج عن انخفاض إفراز إنزيمات البنكرياس.
",إسهال دهني,"Fill in the blanks in the following sentence: Chronic pancreatitis patients often develop ____, which results from a reduction in pancreatic enzyme secretion.",Steatorrhea,Gastroenterology
"املأ الفراغات في الجملة التالية:
في التشخيص التفريقي للغيبوبة، يمكن للتصوير مثل التصوير المقطعي المحوسب استبعاد ____، بينما تساعد الاختبارات المعملية في تحديد ____.
",نزيف داخل الجمجمة؛ اختلالات التمثيل الغذائي,"Fill in the blanks in the following sentence: In the differential diagnosis of coma, imaging such as CT scan can exclude ____, while lab tests help identify ____.",Intracranial hemorrhage; metabolic imbalances,Neurology
"املأ الفراغات في الجملة التالية:
في حالات فقدان الذاكرة الناجم عن اضطرابات التمثيل الغذائي، يكون ____ عاملًا شائعًا، وغالبًا ما يظهر مع أعراض ____.
","نقص صوديوم الدم، النوبات","Fill in the blanks in the following sentence: In cases of memory loss caused by metabolic disturbances, ____ is a common factor, often presenting with symptoms of ____.","Hyponatremia, seizures",Neurology
"املأ الفراغ في الجملة التالية:
الفيروس المسبب لمرض الحماق (جدري الماء) هو ______, و ينتقل المرض عن طريق الاتصال _____ مع آفات المصابين أو مع رذاذ أنوفهم.
","VZV, المباشر","Fill in the blank in the following sentence: The virus that causes chickenpox is ____, and the disease is transmitted by contact with ____ lesions of infected people or with their nasal spray.","VZV, direct",Dermatology
"املأ الفراغ في الجملة التالية:
في المخاض الكاذب، يتعرض الرحم لانقباضات خفيفة وغير منتظمة وغير منتظمة وغير مؤلمة تسمى انقباضات ______.
",براكستون هيكس,"Fill in the blank in the following sentence: In false labour, the womb experiences light, uneven, inconsistent, and painless contractions called ______ contractions.",Braxton Hicks,OBGYN
"املأ الفراغ في الجملة التالية:
في الدورة الدموية للجنين، يوجد ____ لتحويل ____ الدم الداخل إلى الأذين الأيمن إلى الأذين الأيسر ليتم ضخه في الدورة الدموية.
","الثقبة البيضاوية، مؤكسجة","Fill in the blank in the following sentence: In fetal circulation, ____ exists to divert ____blood entering into the right atrium to the left atrium to be pumped into circulation.","Foramen ovale, oxygenated",OBGYN
"املأ الفراغات في الجملة التالية:
تتضمن أعراض نقص الجليكوبين العصبي في ورم الأنسولين ____، ____، وفقدان الذاكرة.
",الدوخة؛ ازدواج الرؤية,"Fill in the blanks in the following sentence: Neuroglycopenic symptoms of insulinoma include ____, ____, and amnesia.",Dizziness; diplopia,Gastroenterology
"املأ الفراغ في الجملة التالية:
يحدث التواء الرقبة الخلقي نتيجة لإصابة العضلة _______، ويظهر بعد الولادة بأسبوعين إلى ثلاثة أسابيع على شكل كتلة صلبة في منتصف العضلة المصابة.
",العضلة القصية الترقوية الخشائية,"Fill in the blank in the following sentence: Congenital torticollis is caused by an injury of the _______ muscle, and it appears 2-3 weeks after birth as a hard lump in the middle of the affected muscle.",Sternocleidomastoid,Pediatrics
"املأ الفراغ في الجملة التالية:
أحد الأسباب المناعية الذاتية لقصور الغدة الكظرية هو _____، والذي يرتبط بأجسام مضادة لـ 21-هيدروكسيلاز.
",التهاب الغدة الكظرية المناعي الذاتي,"Fill in the blank in the following sentence: One of the autoimmune causes of adrenal insufficiency is _____, which is associated with 21-hydroxylase antibodies.",Autoimmune Adrenalitis,Endocrinology
"املأ الفراغ في الجملة التالية:
إن أحد الاضطرابات الكيميائية الحيوية الرئيسية لدى بعض المرضى المصابين بالصرع هو انخفاض الناقل العصبي المثبط _____.
",حمض جاما أمينوبوتيريك,Fill in the blank in the following sentence: A key biochemical abnormality in some patients with epilepsy is a reduction in the inhibitory neurotransmitter _____.,GABA,Neurology
"املأ الفراغ في الجملة التالية:
الإنتانات المعوية (التهاب المعدة والأمعاء) قد تترافق مع أعراض مثل القياء والإسهال، ومن أهم الاختلاطات هو ___، والذي يتم تقييمه في الفحص السريري من خلال غؤور العينين أو اليافوخ وتأخر عود الامتلاء الشعيري.
",التجفاف,"Fill in the blank in the following sentence: Intestinal infections (gastroenteritis) may be accompanied by symptoms such as vomiting and diarrhea, and the most important complication is ___, which is assessed on clinical examination by sunken eyes or fontanelles and delayed capillary refill.",Dehydration,Pediatrics
"املأ الفراغات في الجملة التالية:
النتيجة المميزة للتصوير في التهاب البنكرياس المتكلس المزمن هي ____، وغالبًا ما ترتبط بـ ____.
",التكلسات؛ تعاطي الكحول,"Fill in the blanks in the following sentence: The hallmark imaging finding in chronic calcifying pancreatitis is ____, often linked to ____.",Calcifications; alcohol abuse,Gastroenterology
"املأ الفراغات في الجملة التالية:
يحدث فقدان الذاكرة بعد التهاب الدماغ عادةً بسبب ____، مما يؤدي إلى أعراض مثل ____ وفقدان الذاكرة المؤقت أو الدائم.
"," فيروس الهربس البسيط، فقدان الذاكرة الرجعي","Fill in the blanks in the following sentence: Memory loss following encephalitis is commonly caused by ____, which leads to symptoms such as ____ and temporary or permanent amnesia.","HSV, retrograde amnesia",Neurology
"املأ الفراغ في الجملة التالية:
أحد الأسباب المناعية الذاتية لفرط نشاط الغدة الدرقية هو مرض _____، والذي يرتبط بوجود أجسام مضادة تحفز الغدة الدرقية.
",مرض جريفز,"Fill in the blank in the following sentence: One of the autoimmune causes of hyperthyroidism is _____ disease, which is associated with the presence of thyroid-stimulating antibodies.",Graves',Endocrinology
"املأ الفراغات في الجملة التالية:
يتضمن علاج التهاب عضلة القلب الشديد عوامل مؤثرة على التقلص العضلي مثل ____، وهي مفيدة بشكل خاص في حالات انخفاض التقلص العضلي.
",الدوبيوتامين,"Fill in the blanks in the following sentence: Treatment of severe myocarditis includes inotropic agents like ____, which are particularly useful in cases of reduced EF.",Dobutamine,Cardiovascular System
"املأ الفراغات في الجمل التالية:
من بين العوامل التي تلعب دوراً في انسياخ الجينات المسؤولة عن التحول:  
1. يعتبر الجين ___ المنظم الأساسي للتحول.  
2. حالة ___ الجين.
3. تسلسل ___ ومعزز الصبغي.
","BCL11A - المثيلة - الربط
",Fill in the blanks in the following sentences: Among the factors that play a role in the transcription of genes responsible for transformation: 1. The gene ___ is the main regulator of transformation. 2. The state of the ___ of the gene. 3. The sequence of ___ and the chromosome promoter.,BCL11A - Methylation - Splicing,Hematology
"املأ الفراغ في الجملة التالية:
في الأطفال، يتم علاج التهاب البلعوم الحاد عادةً باستخدام المضادات الحيوية مثل _____ و ______.
","السيفالوسبورينات، ميكرولايدات","Fill in the blanks in the following sentence: In infants, acute pharyngitis is typically treated using antibiotics such as _____ and ______.","Cephalosporins, Microlides",Pediatrics
"املأ الفراغات في الجملة التالية:
يشير اختبار D-Dimer الإيجابي إلى احتمال وجود جلطة دموية، في حين يشير الاختبار السلبي إلى ____.
",يستبعد الانسداد الخثاري,"Fill in the blanks in the following sentence: A positive D-Dimer test indicates possible thrombus, while a negative test effectively ____.",Excludes thromboembolism,Cardiovascular System
"املأ الفراغ في الجملة التالية:
قبل عدة أيام من بدء المخاض، ترتفع مستويات _____ عند الجنين، مما يحفز الجهاز الأنزيمي على تحويل T4 إلى T3 الفعال استقلابياً.

","الكورتيزول
","Fill in the blank in the following sentence: Several days before labor begins, the fetus's _____ levels rise, stimulating the enzyme system to convert T4 to the metabolically active T3.",Cortisol,OBGYN
"املأ الفراغات في الجملة التالية:
عادة ما يحدث اعتلال الدماغ الناجم عن نقص الأكسجين والذي يؤدي إلى الغيبوبة بسبب ____، مما يؤدي إلى ____.
",السكتة القلبية؛ نقص التروية الشامل,"Fill in the blanks in the following sentence: Hypoxic encephalopathy leading to coma is commonly caused by ____, resulting in ____.",Cardiac arrest; global hypoperfusion,Neurology
"املأ الفراغ في الجملة التالية:
السبب المرضي وراء انحلال الطبقة القرنية المنفرر هو كائنات _____ و_____.","Micro-coccus و Sedentarius
",Fill in the blank in the following sentence: The pathological cause of keratolysis latina is _____ and ____.,Micrococci and Sedentarius,Dermatology
"املأ الفراغات في الجملة التالية:
يحدث شلل إرب-دوشين بسبب انخفاض طفيف في حجم ____ و _____ في الضفيرة العضدية، مما يؤدي إلى وضع متطرف للطرف في التقريب الداخلي للمساعدة في وضع الكوع المميز.","C5, C6","Fill in the blanks in the following sentence: Erb-Duchenne palsy is caused by a slight decrease in the size of the ____ and _____ of the brachial plexus, resulting in an extreme position of the limb in internal adduction to assist with the characteristic elbow position.","C5, C6",Pediatrics
"املأ الفراغ في العبارة التالية:
يحدث وضع ""إكرامية النادل"" في إصابات الضفيرة العضدية بسبب إصابة _____.",جذور C5 وC6,"Fill in the blank in the following statement: The ""Waiter Tip"" position in brachial plexus injuries is caused by the injury of _____.",C5 and C6 roots,Neurology
"املأ الفراغ في الجملة التالية:
يحدث الحماض الأيضي في الحماض الكيتوني السكري بسبب تراكم _____، والتي يتم إنتاجها بسبب تحلل الأحماض الدهنية في غياب الأنسولين.", بيتا هيدروكسي بيوتيرات,"Fill in the blank in the following sentence: The metabolic acidosis in DKA is caused by the accumulation of _____, which are produced due to the breakdown of fatty acids in the absence of insulin.",Beta-hydroxybutyrate,Endocrinology
"املأ الفراغات في الجملة التالية:
غالبًا ما يشير وجود ____ في التصوير إلى مضاعفات مثل الأكياس الكاذبة أو الخراجات في التهاب البنكرياس المزمن.",تجمعات السوائل,Fill in the blanks in the following sentence: The presence of ____ on imaging often indicates complications like pseudocysts or abscesses in chronic pancreatitis.,Fluid collections,Gastroenterology
"املأ الفراغ في الجملة التالية:
في الأطفال حديثي الولادة، تظهر ______ على هيئة رعشة عضلية بؤرية قصيرة تؤثر على الأطراف. في هذه الحالة، يكون الطفل حديث الولادة واعيًا بشكل عام، ولكن الرعشة قد تستمر لفترة طويلة من الزمن، مما يؤثر على الوعي ويؤدي إلى زرقة الجلد.",ضمور العضلات,"Fill in the blank in the following sentence: In newborns, ______ appears as short focal muscle tremors affecting the extremities. In this condition, the newborn is generally conscious but the tremors may last for a long period of time, affecting consciousness and leading to cyanosis.",Muscular Dystrophy,Pediatrics
"املأ الفراغ في الجملة التالية:
عند الفحص الروتيني للطفل، ___________ هو السبب الأكثر احتمالا لتضخم كيس الصفن واختبار العتامة الإيجابي.","القيلة المائية
","Fill in the blank in the following sentence: On routine examination of a child, ___________ is the most likely cause of scrotal enlargement and a positive opacity test.",Hydrocele,Pediatrics
"املأ الفراغات في الجملة التالية:
أحد أكثر عوامل الخطر الوراثية شيوعًا للإصابة بالجلطة الوريدية العميقة هو ____، والذي يحدث بسبب طفرة في ____.",عامل لايدن الخامس؛ العامل الخامس,"Fill in the blanks in the following sentence: One of the most common inherited risk factors for DVT is ____, caused by a mutation in ____.",Factor V Leiden; Factor V,Cardiovascular System
"املأ الفراغ في الجملة التالية:
دفع العجان هو إجراء يتم القيام به لحماية نسيج العجان و_____ من التمزق.",الأشفار,Fill in the blank in the following sentence: Perineal thrust is a procedure done to protect the perineal tissue and ____ from tearing.,Labia,OBGYN
"املأ الفراغات في الجملة التالية:
يحدث الانصباب الجنبي النضحي عادة بسبب ____، في حين يرتبط الانصباب النضحي بـ ____.",زيادة نفاذية الشعيرات الدموية؛ زيادة الضغط الهيدروستاتيكي,"Fill in the blanks in the following sentence: Exudative pleural effusion is commonly caused by ____, whereas transudative effusion is associated with ____.",Increased capillary permeability; increased hydrostatic pressure,Pulmonology
"املأ الفراغات في الجملة التالية:
في الحبل السري، تكون الأوعية الدموية محاطة بمادة هلامية تسمى _____، والتي تتكون إلى حد كبير من ______ ووظيفتها الرئيسية هي عزل وحماية الحبل السري في الرحم.","هلام وارتون، عديدات السكاريد المخاطية","Fill in the blanks in the following sentence: In the umbilical cord, the blood vessels are surrounded by a gelatinous substance called _____, which is largely made up of ______ and whose main function is to insulate and protect the umbilical cord in the womb.","Wharton's Jelly, Mucopolysaccharides",OBGYN
"املأ الفراغات في الجملة التالية:
يرجع تراكم السوائل في الانصباب الجنبي إلى اختلال التوازن بين ____ و____.",الضغط الجرمي؛ الضغط الهيدروستاتيكي,Fill in the blanks in the following sentence: The accumulation of fluid in pleural effusion is due to an imbalance between ____ and ____.,Oncotic pressure; hydrostatic pressure,Pulmonology
"املأ الفراغات في الجملة التالية:
تُخصص العوامل المحللة للخثرات مثل ____، لحالات الخثار الوريدي العميق أو الانسداد الرئوي الشديد مع ضعف ديناميكيات الدم.",ستربتوكيناز,"Fill in the blanks in the following sentence: Thrombolytic agents like ____, are reserved for cases of massive DVT or PE with hemodynamic compromise.",Streptokinase,Cardiovascular System
